Place_Name,State_FIPS,Place_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Biscoe town,37,06000,3706000,699,84.6,528,63.9
Black Creek town,37,06080,3706080,256,80.8,231,72.9
Black Mountain town,37,06140,3706140,3219,78.8,2658,65.1
Bladenboro town,37,06240,3706240,791,93.2,709,83.5
Blowing Rock town,37,06500,3706500,586,94.8,554,89.6
Blue Clay Farms CDP,37,06510,3706510,21,100.0,21,100.0
Boardman town,37,06660,3706660,116,92.8,110,88.0
Bogue town,37,06740,3706740,334,98.2,308,90.6
Boiling Spring Lakes city,37,06760,3706760,2552,99.1,2227,86.5
Boiling Springs town,37,06800,3706800,1036,88.9,933,80.0
Bolivia town,37,06820,3706820,65,95.6,63,92.6
Bolton town,37,06860,3706860,197,80.1,142,57.7
Bonnetsville CDP,37,06980,3706980,313,94.6,302,91.2
Boone town,37,07080,3707080,5756,95.9,5028,83.7
Boonville town,37,07140,3707140,465,75.5,407,66.1
Bostic town,37,07220,3707220,105,71.4,102,69.4
Bowdens CDP,37,07340,3707340,186,100.0,96,51.6
Bowmore CDP,37,07400,3707400,36,48.6,36,48.6
Brandywine Bay CDP,37,07588,3707588,597,94.5,580,91.8
Brevard city,37,07720,3707720,3228,91.0,2956,83.3
Briar Chapel CDP,37,07748,3707748,1298,100.0,1241,95.6
Brices Creek CDP,37,07765,3707765,1382,100.0,1382,100.0
Bridgeton town,37,07860,3707860,131,84.0,98,62.8
Broad Creek CDP,37,08040,3708040,862,93.6,818,88.8
Broadway town,37,08080,3708080,559,90.2,477,76.9
Brogden CDP,37,08110,3708110,816,83.5,729,74.6
Brookford town,37,08140,3708140,177,91.2,154,79.4
Brunswick town,37,08420,3708420,171,84.7,160,79.2
Bryson City town,37,08480,3708480,577,79.7,462,63.8
Buies Creek CDP,37,08760,3708760,882,100.0,855,96.9
Bunn town,37,08860,3708860,147,71.7,139,67.8
Coinjock CDP,37,13500,3713500,109,100.0,103,94.5
Colerain town,37,13560,3713560,105,92.1,91,79.8
Columbia town,37,13940,3713940,209,61.1,162,47.4
Columbus town,37,13980,3713980,490,90.4,381,70.3
Como town,37,14060,3714060,27,64.3,21,50.0
Concord city,37,14100,3714100,31252,94.5,29363,88.8
Conetoe town,37,14200,3714200,116,78.9,109,74.1
Connelly Springs town,37,14280,3714280,701,78.4,586,65.5
Conover city,37,14340,3714340,3077,91.5,2929,87.1
Conway town,37,14400,3714400,241,87.6,130,47.3
Cooleemee town,37,14460,3714460,336,86.8,324,83.7
Cordova CDP,37,14600,3714600,554,85.8,580,89.8
Cornelius town,37,14700,3714700,12115,98.0,11619,94.0
Cove City town,37,15020,3715020,189,79.4,156,65.5
Cove Creek CDP,37,15040,3715040,356,80.9,323,73.4
Cramerton town,37,15260,3715260,1679,95.6,1647,93.7
Creedmoor city,37,15320,3715320,1642,99.1,1625,98.1
Creswell town,37,15420,3715420,72,80.9,67,75.3
Cricket CDP,37,15440,3715440,802,85.9,778,83.3
Crossnore town,37,15580,3715580,19,100.0,17,89.5
Crouse CDP,37,15640,3715640,44,100.0,44,100.0
Cullowhee CDP,37,15880,3715880,1399,100.0,904,64.6
Cypress Landing CDP,37,16084,3716084,632,100.0,632,100.0
Dallas town,37,16180,3716180,1440,86.1,1337,79.9
Dana CDP,37,16220,3716220,1235,86.5,1191,83.5
Danbury town,37,16240,3716240,53,88.3,51,85.0
Davidson town,37,16400,3716400,4372,97.7,4285,95.8
Davis CDP,37,16480,3716480,88,83.8,88,83.8
Deep Run CDP,37,16720,3716720,178,78.8,166,73.5
Deercroft CDP,37,16730,3716730,181,100.0,173,95.6
Delco CDP,37,16780,3716780,57,100.0,48,84.2
Dellview town,37,16820,3716820,25,100.0,25,100.0
Delway CDP,37,16860,3716860,13,100.0,0,0.0
Denton town,37,16980,3716980,471,80.7,434,74.3
Denver CDP,37,17000,3717000,1157,91.2,1189,93.8
Dillsboro town,37,17180,3717180,100,87.7,98,86.0
