Census_Tract_Name,County_Name,State_FIPS,County_FIPS,Census_Tract_FIPS,FIPS_Code,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Census Tract 5.01, Pitt ,37,147,000501,37147000501,2269,94.5,2117,88.2
Census Tract 5.03, Pitt ,37,147,000503,37147000503,2022,95.1,1928,90.6
Census Tract 2, Wilson ,37,195,000200,37195000200,235,62.8,238,63.6
Census Tract 3, Wilson ,37,195,000300,37195000300,477,66.3,421,58.6
Census Tract 4.01, Wilson ,37,195,000401,37195000401,1534,82.3,1442,77.4
Census Tract 4.02, Wilson ,37,195,000402,37195000402,1240,75.7,976,59.6
Census Tract 5.01, Wilson ,37,195,000501,37195000501,1410,95.5,1380,93.4
Census Tract 5.02, Wilson ,37,195,000502,37195000502,2066,92.6,1944,87.1
Census Tract 6.01, Wilson ,37,195,000601,37195000601,1526,89.7,1258,74.0
Census Tract 6.02, Wilson ,37,195,000602,37195000602,1324,93.5,1291,91.2
Census Tract 7.01, Wilson ,37,195,000701,37195000701,802,86.7,740,80.0
Census Tract 7.02, Wilson ,37,195,000702,37195000702,492,57.3,517,60.2
Census Tract 8.01, Wilson ,37,195,000801,37195000801,506,49.7,568,55.8
Census Tract 8.02, Wilson ,37,195,000802,37195000802,1010,74.1,846,62.1
Census Tract 9, Wilson ,37,195,000900,37195000900,1320,87.2,1194,78.9
Census Tract 10, Wilson ,37,195,001000,37195001000,603,88.9,569,83.9
Census Tract 11, Wilson ,37,195,001100,37195001100,484,84.2,457,79.5
Census Tract 12, Wilson ,37,195,001200,37195001200,1262,76.3,1184,71.5
Census Tract 13.01, Wilson ,37,195,001301,37195001301,851,73.2,833,71.7
Census Tract 13.02, Wilson ,37,195,001302,37195001302,738,85.3,677,78.3
Census Tract 14.01, Wilson ,37,195,001401,37195001401,1255,95.3,1222,92.8
Census Tract 14.02, Wilson ,37,195,001402,37195001402,1991,85.0,2023,86.3
Census Tract 15.01, Wilson ,37,195,001501,37195001501,939,80.5,774,66.4
Census Tract 15.02, Wilson ,37,195,001502,37195001502,948,94.0,881,87.4
Census Tract 16, Wilson ,37,195,001600,37195001600,1090,89.9,932,76.9
Census Tract 17, Wilson ,37,195,001700,37195001700,1204,82.5,1156,79.2
Census Tract 501.01, Yadkin ,37,197,050101,37197050101,2088,91.3,1921,84.0
Census Tract 501.02, Yadkin ,37,197,050102,37197050102,1410,89.6,1254,79.7
Census Tract 502, Yadkin ,37,197,050200,37197050200,1512,78.0,1338,69.0
Census Tract 503, Yadkin ,37,197,050300,37197050300,2232,85.9,1643,63.3
Census Tract 504.01, Yadkin ,37,197,050401,37197050401,977,84.6,894,77.4
Census Tract 504.02, Yadkin ,37,197,050402,37197050402,1030,92.7,817,73.5
Census Tract 505.02, Yadkin ,37,197,050502,37197050502,1489,86.2,1404,81.3
Census Tract 505.03, Yadkin ,37,197,050503,37197050503,1092,77.2,1008,71.2
Census Tract 505.04, Yadkin ,37,197,050504,37197050504,1357,94.2,1252,86.9
Census Tract 9601.01, Yancey ,37,199,960101,37199960101,1268,85.9,1173,79.5
Census Tract 9601.02, Yancey ,37,199,960102,37199960102,605,73.2,599,72.5
Census Tract 9602, Yancey ,37,199,960200,37199960200,1524,80.8,1401,74.2
Census Tract 9603, Yancey ,37,199,960300,37199960300,1069,82.3,880,67.7
Census Tract 9604, Yancey ,37,199,960400,37199960400,1687,85.3,1594,80.6
Census Tract 602.03, Davidson ,37,057,060203,37057060203,2317,91.4,2241,88.4
Census Tract 603.01, Davidson ,37,057,060301,37057060301,1754,87.3,1661,82.7
Census Tract 603.02, Davidson ,37,057,060302,37057060302,1715,97.6,1544,87.8
Census Tract 603.03, Davidson ,37,057,060303,37057060303,1591,92.5,1520,88.4
Census Tract 603.04, Davidson ,37,057,060304,37057060304,1330,94.6,1202,85.5
Census Tract 604, Davidson ,37,057,060400,37057060400,1805,86.7,1555,74.7
Census Tract 605, Davidson ,37,057,060500,37057060500,2081,85.3,1820,74.6
Census Tract 606.01, Davidson ,37,057,060601,37057060601,1418,94.3,1343,89.4
Census Tract 606.02, Davidson ,37,057,060602,37057060602,1091,89.4,1063,87.1
Census Tract 607, Davidson ,37,057,060700,37057060700,1995,91.2,1806,82.6
Census Tract 608, Davidson ,37,057,060800,37057060800,1299,80.3,1197,74.0
Census Tract 609, Davidson ,37,057,060900,37057060900,1835,89.1,1789,86.8
Census Tract 610, Davidson ,37,057,061000,37057061000,1783,87.9,1700,83.8
Census Tract 611.01, Davidson ,37,057,061101,37057061101,995,84.1,982,83.0
Census Tract 611.02, Davidson ,37,057,061102,37057061102,1625,86.2,1400,74.2
Census Tract 612.02, Davidson ,37,057,061202,37057061202,933,85.0,804,73.2
Census Tract 612.03, Davidson ,37,057,061203,37057061203,1603,89.0,1438,79.8
Census Tract 612.04, Davidson ,37,057,061204,37057061204,944,81.8,733,63.5
Census Tract 613, Davidson ,37,057,061300,37057061300,781,87.5,679,76.0
Census Tract 614, Davidson ,37,057,061400,37057061400,885,84.0,722,68.5
Census Tract 615.01, Davidson ,37,057,061501,37057061501,1618,90.1,1311,73.0
Census Tract 615.02, Davidson ,37,057,061502,37057061502,986,92.1,958,89.5
Census Tract 616, Davidson ,37,057,061600,37057061600,1033,90.8,948,83.3
Census Tract 617.01, Davidson ,37,057,061701,37057061701,1611,87.8,1518,82.8
Census Tract 617.03, Davidson ,37,057,061703,37057061703,1537,93.6,1383,84.2
Census Tract 617.04, Davidson ,37,057,061704,37057061704,1320,87.7,1262,83.9
Census Tract 617.05, Davidson ,37,057,061705,37057061705,1320,96.6,1244,91.0
Census Tract 618.03, Davidson ,37,057,061803,37057061803,1375,90.2,1282,84.1
Census Tract 618.05, Davidson ,37,057,061805,37057061805,1116,88.8,1100,87.5
Census Tract 618.06, Davidson ,37,057,061806,37057061806,1119,84.8,1097,83.2
Census Tract 618.07, Davidson ,37,057,061807,37057061807,1103,92.9,1103,92.9
